X,Y,Z
-65,41,-682
-72,42,-684
-72,42,-684
-72,42,-684
-72,47,-684
-66,47,-684
-66,47,-684
-66,47,-684
-76,55,-680
-76,55,-680
-76,55,-680
-83,61,-684
-83,61,-684
-83,61,-684
-86,62,-674
-86,62,-674
-86,62,-674
-86,62,-674
-94,79,-679
-94,79,-679
-94,79,-679
-80,73,-671
-80,73,-671
-80,73,-671
-80,73,-671
-85,74,-673
-85,74,-673
-85,74,-673
-84,77,-681
-84,77,-681
-84,77,-681
-84,77,-681
-86,74,-682
-86,74,-682
-86,74,-682
-92,77,-668
-92,77,-668
-92,77,-668
-92,77,-668
-96,73,-674
-96,73,-674
-96,73,-674
-94,66,-671
-94,66,-671
-94,66,-671
-94,66,-671
-97,79,-670
-97,79,-670
-97,79,-670
-89,79,-675
-89,79,-675
-89,79,-675
-89,79,-675
-87,76,-682
-87,76,-682
-87,76,-682
-84,83,-672
-84,83,-672
-84,83,-672
-84,83,-672
-77,91,-681
-77,91,-681
-77,91,-681
-86,90,-670
-86,90,-670
-86,90,-670
-88,98,-668
-88,98,-668
-88,98,-668
-102,116,-659
-102,116,-659
-102,116,-659
-84,116,-660
-84,116,-660
-84,116,-660
-84,112,-662
-84,112,-662
-84,112,-662
-80,104,-670
-80,104,-670
-80,104,-670
-80,104,-673
-66,104,-673
-66,104,-673
-66,104,-673
-65,103,-672
-65,103,-672
-65,103,-672
-59,112,-667
-59,112,-667
-59,112,-667
-52,123,-663
-52,123,-663
-52,123,-663
-61,122,-670
-61,122,-670
-61,122,-670
-56,123,-669
-56,123,-669
-56,123,-669
-52,135,-665
-52,135,-665
-52,135,-665
-52,135,-658
-52,135,-658
-52,135,-658
-52,125,-664
-52,125,-664
-52,125,-664
-52,125,-664
-42,131,-666
-42,131,-666
-42,131,-666
-37,131,-665
-37,131,-665
-37,131,-665
-37,131,-665
-37,131,-665
-37,131,-665
-36,124,-667
-36,124,-667
-36,124,-667
-31,126,-667
-31,126,-667
-31,126,-667
-33,127,-671
-33,127,-671
-33,127,-671
-35,130,-666
-35,130,-666
-35,130,-666
-33,130,-665
-33,130,-665
-33,130,-665
-33,132,-666
-31,132,-666
-31,132,-666
-31,132,-666
-18,133,-666
-18,133,-666
-18,133,-666
-16,134,-669
-16,134,-669
-16,134,-669
-13,141,-667
-13,141,-667
-13,141,-667
-19,129,-665
-19,129,-665
-19,129,-665
-8,129,-665
-8,129,-665
-8,129,-665
3,124,-666
3,124,-666
3,124,-666
5,130,-668
5,130,-668
5,130,-668
14,128,-665
14,128,-665
14,128,-665
14,128,-665
20,122,-663
20,122,-663
20,122,-663
14,122,-675
14,122,-675
14,122,-675
25,116,-671
25,116,-671
25,116,-671
25,105,-678
25,105,-678
25,105,-678
25,102,-675
25,102,-675
25,102,-675
22,98,-676
22,98,-676
22,98,-676
34,100,-678
34,100,-678
34,100,-678
34,100,-678
45,106,-669
45,106,-669
45,106,-669
47,102,-670
47,102,-670
47,102,-670
47,102,-670
56,112,-668
56,112,-668
56,112,-668
64,104,-675
64,104,-675
64,104,-675
65,99,-669
65,99,-669
65,99,-669
71,91,-671
71,91,-671
71,91,-671
80,84,-675
80,84,-675
80,84,-675
82,79,-681
82,79,-681
82,79,-681
84,59,-678
84,59,-678
84,59,-678
78,51,-676
78,51,-676
78,51,-676
78,39,-675
90,39,-675
90,39,-675
90,39,-675
88,40,-678
88,40,-678
88,40,-678
91,28,-679
91,28,-679
91,28,-679
85,19,-674
85,19,-674
85,19,-674
98,12,-683
98,12,-683
98,12,-683
94,-2,-683
94,-2,-683
94,-2,-683
90,-1,-683
90,-1,-683
90,-1,-683
93,-7,-677
93,-7,-677
93,-7,-677
93,-7,-682
93,-10,-682
93,-10,-682
93,-10,-682
90,-11,-680
90,-11,-680
90,-11,-680
87,-7,-678
87,-7,-678
87,-7,-678
87,-7,-678
97,-9,-684
97,-9,-684
97,-9,-684
96,-32,-678
96,-32,-678
96,-32,-678
96,-32,-678
97,-37,-679
97,-37,-679
97,-37,-679
94,-48,-672
94,-48,-672
94,-48,-672
94,-48,-672
98,-44,-677
98,-44,-677
98,-44,-677
104,-30,-670
104,-30,-670
104,-30,-670
104,-30,-670
92,-1,-686
92,-1,-686
92,-1,-686
81,-10,-683
81,-10,-683
81,-10,-683
84,-17,-682
84,-17,-682
84,-17,-682
99,-24,-685
99,-24,-685
99,-24,-685
95,-26,-684
95,-26,-684
95,-26,-684
95,-26,-678
88,-34,-678
88,-34,-678
88,-34,-678
84,-28,-685
84,-28,-685
84,-28,-685
87,-37,-679
87,-37,-679
87,-37,-679
83,-45,-683
83,-45,-683
83,-45,-683
89,-51,-677
89,-51,-677
89,-51,-677
89,-58,-677
78,-58,-677
78,-58,-677
78,-58,-677
78,-55,-678
78,-55,-678
78,-55,-678
52,-51,-681
52,-51,-681
52,-51,-681
52,-51,-681
72,-47,-683
72,-47,-683
72,-47,-683
67,-49,-678
67,-49,-678
67,-49,-678
67,-49,-678
64,-58,-684
64,-58,-684
64,-58,-684
55,-68,-683
55,-68,-683
55,-68,-683
55,-68,-683
57,-79,-683
57,-79,-683
57,-79,-683
44,-81,-680
44,-81,-680
44,-81,-680
42,-91,-683
42,-91,-683
42,-91,-683
34,-90,-679
34,-90,-679
34,-90,-679
34,-90,-679
25,-90,-684
25,-90,-684
25,-90,-684
12,-96,-682
12,-96,-682
12,-96,-682
11,-86,-684
11,-86,-684
11,-86,-684
5,-99,-673
5,-99,-673
5,-99,-673
5,-91,-682
5,-91,-682
5,-91,-682
-1,-88,-674
-1,-88,-674
-1,-88,-674
-9,-95,-676
-9,-95,-676
-9,-95,-676
-15,-101,-681
-15,-101,-681
-15,-101,-681
-15,-101,-670
-17,-101,-670
-17,-101,-670
-17,-101,-670
-22,-104,-676
-22,-104,-676
-22,-104,-676
-31,-91,-680
-31,-91,-680
-31,-91,-680
-30,-91,-673
-30,-91,-673
-30,-91,-673
-36,-92,-678
-36,-92,-678
-36,-92,-678
-47,-94,-675
-47,-94,-675
-47,-94,-675
-55,-86,-682
-55,-86,-682
-55,-86,-682
-57,-82,-680
-57,-82,-680
-57,-82,-680
-69,-77,-680
-69,-77,-680
-69,-77,-680
-69,-77,-680
-76,-72,-674
-76,-72,-674
-76,-72,-674
-86,-68,-674
-86,-68,-674
-86,-68,-674
-87,-61,-674
-87,-61,-674
-87,-61,-674
-94,-61,-673
-94,-61,-673
-94,-61,-673
-94,-60,-674
-94,-60,-674
-94,-60,-674
-98,-45,-671
-98,-45,-671
-98,-45,-671
-103,-42,-673
-103,-42,-673
-103,-42,-673
-103,-42,-671
-100,-42,-671
-100,-42,-671
-100,-42,-671
-109,-43,-669
-109,-43,-669
-109,-43,-669
-107,-42,-674
-107,-42,-674
-107,-42,-674
-107,-30,-676
-107,-30,-676
-107,-30,-676
-107,-22,-679
-107,-22,-679
-107,-22,-679
-114,-19,-674
-114,-19,-674
-114,-19,-674
-108,-10,-680
-108,-10,-680
-108,-10,-680
-102,-4,-680
-102,-4,-680
-102,-4,-680
-89,5,-686
-89,5,-686
-89,5,-686
-89,5,-686
-89,12,-683
-89,12,-683
-89,12,-683
-80,27,-683
-80,27,-683
-80,27,-683
-78,39,-687
-78,39,-687
-78,39,-687
-72,39,-688
-72,39,-688
-72,39,-688
-73,48,-685
-73,48,-685
-73,48,-685
-60,42,-681
-60,42,-681
-60,42,-681
-68,23,-678
-68,23,-678
-68,23,-678
-68,-17,-681
-83,-17,-681
-83,-17,-681
-83,-17,-681
-81,-54,-676
-81,-54,-676
-81,-54,-676
-307,-102,-672
-51,-102,-672
-51,-102,-672
-51,-102,-672
-24,-134,-663
-24,-134,-663
-24,-134,-663
-4,-140,-662
-4,-140,-662
-4,-140,-662
-4,-140,-662
23,-142,-666
23,-142,-666
23,-142,-666
39,-128,-669
39,-128,-669
39,-128,-669
60,-106,-670
60,-106,-670
60,-106,-670
63,-82,-680
63,-82,-680
63,-82,-680
71,-69,-675
71,-69,-675
71,-69,-675
87,-81,-674
87,-81,-674
87,-81,-674
87,-90,-676
87,-90,-676
87,-90,-676
69,-88,-678
69,-88,-678
69,-88,-678
38,-77,-684
38,-77,-684
38,-77,-684
38,-63,-688
